烏龍綠茶
特級綠茶
特級紅茶
錫蘭紅茶
原咖啡拿鐵
特選珍香
紅心芭樂檸檬
蜜桃冰茶
甘蔗檸檬茶
柳橙綠
蜂蜜蘆薈檸檬
金桔檸檬
檸檬紅茶
檸檬綠茶
蘋果醋
蘋果紅茶醋
蜂蜜蘋果醋
蘆薈蘋果醋
檸檬梅醋
梅子綠茶
蜂蜜黑咖啡
頂級可可
濃情巧克力
蜜來
仙人茶
Red Bull紅牛能量紅茶
Red Bull紅牛能量藍莓蜜
冬瓜茶
冬瓜綠茶
百香蘆薈綠茶
雙Q百香蘆薈綠茶
冰淇淋紅茶
冰淇淋奶茶
紅玉三兄弟
珍珠冰淇淋布丁紅茶
奶茶
奶綠
珍珠奶茶
椰果奶茶
珍珠奶綠
椰果奶綠
烏龍奶茶
燕麥奶茶
仙草奶茶
椰果奶茶
咖啡奶茶
紅茶歐蕾
芝麻奶茶
粉圓椰奶茶
燕麥椰奶茶
珍珠芝麻拿鐵
鮮奶茶
珍珠紅茶拿鐵
珍珠綠茶拿鐵
粉圓紅茶拿鐵
燕麥紅茶拿鐵
粉圓芝麻拿鐵
甘蔗拿鐵
紅心芭樂檸檬
優多紅茶
優多綠茶
優多香檸紅茶
優多香檸綠茶
優多柳橙
優多蘆薈
薑母紅茶
桂圓枸杞茶
薑薑好茶
薑薑奶茶
