娜杯紅茶
英倫伯爵紅茶
大正醇香紅茶
原片初露青茶
琥珀高峰烏龍
水之森玄米抹茶
娜杯紅茶拿鐵
伯爵紅茶拿鐵
大正紅茶拿鐵
琥珀烏龍拿鐵
茉香綠茶拿鐵
原片青茶拿鐵
珍珠紅茶拿鐵(伯爵)
珍珠紅茶拿鐵(大正)
珍珠娜杯紅茶拿鐵
輕纖喬麥茶
輕纖喬麥拿鐵
冰糖洛神梅
原鄉冬瓜茶
焙香決明大麥
焙香大麥拿鐵
芋頭鮮奶
手炒黑糖鮮奶
法芙娜純可可鮮奶
玄米抹茶拿鐵
珍珠鮮奶
嫩仙草凍奶
綠光純鮮奶家庭號
熟釀青梅綠
熟釀青梅檸
蜜桃烏龍
蜜桃茉莉
白甘蔗青茶
冬瓜青茶
冬瓜檸麥茶
冬瓜檸檬
柳丁綠青茶
柳丁綠茶
青檸香茶
蜂蜜檸檬晶凍
檸檬蜜Q晶凍
香柚綠茶
柚蜜白玉
養樂多綠
冰粹柳檸檬
冰粹柳丁
蕎喬奶霜紅(伯爵/大正/娜杯)
蕎喬奶霜紅(伯爵/大正/娜杯)
蕎喬奶霜綠
蕎喬奶霜烏
蕎喬奶霜青
蕎喬奶霜麥
蕎喬奶霜蜜糖茉莉
蕎喬奶霜蜂蜜青梅
柳丁綠茶冰棒
紅茶拿鐵冰淇淋
愛文芒果歐蕾冰淇淋
小牛可可伯爵拿鐵雪糕
