茉莉綠茶
阿薩姆紅茶
四季春青茶
黃金烏龍
四季春珍波椰
波霸綠
波霸紅
微檸檬紅
微檸檬青
檸檬綠
檸檬青
梅の綠
8冰綠
多多綠
冰淇淋紅茶
柚子紅
旺來紅
鮮柚綠
紅茶拿鐵
珍珠紅茶拿鐵
波霸紅茶拿鐵
燕麥紅茶拿鐵
阿華田拿鐵
冰淇淋紅茶拿鐵
奶茶
奶綠
烏龍奶
珍珠奶茶
珍珠奶綠
波霸奶茶
波霸奶綠
燕麥奶茶
紅茶瑪奇朵
椰果奶茶
椰果奶綠
阿華田
冰淇淋奶茶
8冰茶
柚子茶
檸檬汁
葡萄柚汁
金桔檸檬
檸檬梅汁
檸檬多多
葡萄柚多多
