熟成紅茶
麗春紅茶
胭脂紅茶
金蜜紅茶
春芽綠茶
雪花冷露
熟成冷露
春芽冷露
熟成檸果
冷露檸果
胭脂多多
金蜜檸果
金檸熟成
金檸春芽
桑檸熟成
柚果紅茶
橙果紅茶
莓果春芽
雲蓋熟成
雲蓋麗春
雲蓋胭脂
雲蓋春芽
雲蓋歐蕾
雲蓋黑蜜
熟成歐蕾
冷露歐蕾
白玉歐蕾
金蜜歐蕾
黑蜜歐蕾
