紅茶
楊枝甘露2.0
芝芝芒果
芒果黑糖波波
芝芝草莓
葡萄柚果粒波波
荔枝烏龍
芋泥波波鮮奶2.0
椰椰奶凍波波
藍莓梅果波波
香橙果粒茶
柚綠
葡萄柚果粒茶
葡萄柚綠
柚香寒天綠茶
芝芝金萱
芝芝鐵觀音紅茶
芝芝翠玉綠
芝芝葡萄柚綠茶
芝芝鳳梨奶茶
芝芝阿里紅
梅子冰茶
梅子綠茶
多多綠
蜜桃奶茶
鴛鴦奶茶
波霸奶茶
仙草奶茶
玫瑰奶茶
阿薩姆
紅茶拿鐵
波霸紅茶拿鐵
仙草紅茶拿鐵
阿里山拿鐵
玫瑰紅茶拿鐵
百香雙Q果
百香綠
百香紅
百香多多
檸檬紅
檸檬綠
蜂蜜檸檬
檸檬寒天
梅果紅茶
梅果綠茶
金桔檸檬
蜂蜜金桔
青茶
經典紅茶
高山金萱
珍釀綠茶
鳳梨紅茶
黑糖紅茶
珍釀冬瓜茶
甘蔗綠
薑母茶
薑母紅茶
冬瓜檸檬
冬瓜紅茶
冬瓜鮮奶
冬瓜青茶
冬瓜檸檬雙Q
