紅茶
茉莉綠茶
四季春青茶
手採紅茶
四季珍椰青
蜜香凍紅茶
蜜香凍綠茶
蜜香凍青茶
仙草蜜
百香雙響炮
胖胖楊枝甘露
纖細楊枝甘露
葡萄柚果茶
百香綠茶
芒果綠茶
鮮檸檬紅茶
鮮檸檬綠茶
鮮檸檬青茶
檸檬冬瓜露
蜜香檸凍紅茶
蜜香檸凍綠茶
蜜香檸凍青茶
蜜香檸凍冬茶
金桔檸檬
檸檬奇遇桔
檸檬霸
蕎麥冬瓜露
綠茶養樂多
奶茶三兄弟
阿薩姆奶茶
珍珠奶茶
西谷米奶茶
布丁奶茶
雲朵奶蓋紅茶
雲朵奶蓋綠茶
芋頭西谷米牛奶
英式鮮奶茶
珍珠鮮奶茶
芋頭牛奶
星空葡萄
芒果冰沙
芒果歐蕾
綠豆沙
綠豆沙牛奶
